Nome,Team,Eta,P,VG,Contratto,Stagione,Ing
A. Kalimuendo                                                                                                                                                                                                                                                                                                           Kalimuendo,STELLA ROSSA fabs,21anni,P,79,2,0,2.438.100
B. Cristante                                                                                                                                                                                                                                                                                                           Cristante,STELLA ROSSA fabs,28anni,MED,82,5,0,2.887.500
Barrenetxea                                                                                                                                                                                                                                                                                                           Barrenetxea,STELLA ROSSA fabs,22anni,CLS,78,2,0,2.370.375
Brahim Diaz                                                                                                                                                                                                                                                                                                           Diaz,STELLA ROSSA fabs,24anni,TRQ,82,5,0,3.147.375
C. Alcaraz                                                                                                                                                                                                                                                                                                           Alcaraz,STELLA ROSSA fabs,21anni,CC,79,2,0,2.370.375
C. De Ketelaere                                                                                                                                                                                                                                                                                                           De Ketelaere,STELLA ROSSA fabs,22anni,TRQ,81,2,0,3.031.875
D. Kamada                                                                                                                                                                                                                                                                                                           Kamada,STELLA ROSSA fabs,27anni,CC,83,5,0,4.100.775
D. Rensch                                                                                                                                                                                                                                                                                                           Rensch,STELLA ROSSA fabs,20anni,TD,78,2,0,2.144.625
D. Sow                                                                                                                                                                                                                                                                                                           Sow,STELLA ROSSA fabs,26anni,CC,82,5,0,3.089.625
E. Camavinga                                                                                                                                                                                                                                                                                                           Camavinga,STELLA ROSSA fabs,21anni,CC,83,2,0,4.024.125
E. Eze                                                                                                                                                                                                                                                                                                           Eze,STELLA ROSSA fabs,25anni,TRQ,83,2,0,4.177.425
Eric Garcia                                                                                                                                                                                                                                                                                                           Garcia,STELLA ROSSA fabs,22anni,DC,80,2,0,3.031.875
F. Gattoni                                                                                                                                                                                                                                                                                                           Gattoni,STELLA ROSSA fabs,24anni,DC,79,2,0,2.460.675
Francisco Conceicao                                                                                                                                                                                                                                                                                                           Conceicao,STELLA ROSSA fabs,21anni,CLD,78,2,0,2.370.375
G. Dietsch                                                                                                                                                                                                                                                                                                           Dietsch,STELLA ROSSA fabs,22anni,PT,75,2,0,1.893.166
J. Sancho                                                                                                                                                                                                                                                                                                           Sancho,STELLA ROSSA fabs,23anni,ESA,80,2,0,3.089.625
J. Sforza                                                                                                                                                                                                                                                                                                           Sforza,STELLA ROSSA fabs,21anni,MED,78,2,0,2.370.375
Joao Felix                                                                                                                                                                                                                                                                                                           Felix,STELLA ROSSA fabs,24anni,SP,83,2,0,4.256.995
M. Rashford                                                                                                                                                                                                                                                                                                           Rashford,STELLA ROSSA fabs,26anni,ESA,83,2,0,4.178.885
M. Wolf                                                                                                                                                                                                                                                                                                           Wolf,STELLA ROSSA fabs,28anni,TD,81,5,0,2.887.500
Marco Asensio                                                                                                                                                                                                                                                                                                           Asensio,STELLA ROSSA fabs,27anni,EDA,83,5,0,4.178.885
N. Zalewski                                                                                                                                                                                                                                                                                                           Zalewski,STELLA ROSSA fabs,21anni,CLS,80,2,0,3.031.875
N. Zaniolo                                                                                                                                                                                                                                                                                                           Zaniolo,STELLA ROSSA fabs,24anni,TRQ,82,2,0,3.147.375
S. Meza                                                                                                                                                                                                                                                                                                           Meza,STELLA ROSSA fabs,23anni,PT,77,2,0,2.325.225
Stefan Bajcetic                                                                                                                                                                                                                                                                                                           Bajcetic,STELLA ROSSA fabs,19anni,MED,78,2,0,2.144.625
Tomas Araujo                                                                                                                                                                                                                                                                                                           Araujo,STELLA ROSSA fabs,21anni,DC,78,2,0,2.370.375
W. Fofana                                                                                                                                                                                                                                                                                                           Fofana,STELLA ROSSA fabs,23anni,DC,82,2,0,3.031.875
Y. Verschaeren                                                                                                                                                                                                                                                                                                           Verschaeren,STELLA ROSSA fabs,22anni,TRQ,78,2,0,2.370.375
Yan Couto                                                                                                                                                                                                                                                                                                           Couto,STELLA ROSSA fabs,21anni,TD,78,2,0,2.370.375
